level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1508	889	-1	
2	1	1	0	0	0	18	14	1472	46	-1	
3	1	1	1	0	0	18	14	1472	46	-1	
4	1	1	1	1	0	18	14	1472	46	-1	
5	1	1	1	1	1	18	14	1472	46	95	  
2	1	2	0	0	0	178	153	1312	137	-1	
3	1	2	1	0	0	178	153	1312	137	-1	
4	1	2	1	1	0	178	153	1312	27	-1	
5	1	2	1	1	1	178	153	1312	27	95	    
4	1	2	1	2	0	1152	180	330	86	-1	
5	1	2	1	2	1	1152	180	330	86	95	  
4	1	2	1	3	0	1152	266	110	24	-1	
5	1	2	1	3	1	1152	266	110	24	95	 
2	1	3	0	0	0	32	165	146	67	-1	
3	1	3	1	0	0	32	165	146	67	-1	
4	1	3	1	1	0	32	165	146	24	-1	
5	1	3	1	1	1	32	161	84	32	0	Le
5	1	3	1	1	2	126	161	56	32	22	étel
4	1	3	1	2	0	47	219	131	13	-1	
5	1	3	1	2	1	36	215	46	27	92	MOBIL
5	1	3	1	2	2	88	215	90	27	89	APPLIKÁCIÓ
2	1	4	0	0	0	40	273	61	11	-1	
3	1	4	1	0	0	40	273	61	11	-1	
4	1	4	1	1	0	40	273	61	11	-1	
5	1	4	1	1	1	40	273	61	11	5	kele
2	1	5	0	0	0	43	315	56	14	-1	
3	1	5	1	0	0	43	315	56	14	-1	
4	1	5	1	1	0	43	315	56	14	-1	
5	1	5	1	1	1	43	315	56	14	96	SPECIÁLIS
2	1	6	0	0	0	44	352	88	12	-1	
3	1	6	1	0	0	44	352	88	12	-1	
4	1	6	1	1	0	44	352	88	12	-1	
5	1	6	1	1	1	44	352	88	12	0	Se
2	1	7	0	0	0	120	386	3	14	-1	
3	1	7	1	0	0	120	386	3	14	-1	
4	1	7	1	1	0	120	386	3	14	-1	
5	1	7	1	1	1	120	386	3	14	95	 
2	1	8	0	0	0	43	389	75	11	-1	
3	1	8	1	0	0	43	389	75	11	-1	
4	1	8	1	1	0	43	389	75	11	-1	
5	1	8	1	1	1	43	389	45	11	21	[edett
5	1	8	1	1	2	90	390	28	10	0	OCTeT
2	1	9	0	0	0	42	426	114	16	-1	
3	1	9	1	0	0	42	426	114	16	-1	
4	1	9	1	1	0	42	426	114	16	-1	
5	1	9	1	1	1	42	426	97	16	0	(EAST
5	1	9	1	1	2	138	418	15	31	0	LT
2	1	10	0	0	0	43	472	46	11	-1	
3	1	10	1	0	0	43	472	46	11	-1	
4	1	10	1	1	0	43	472	46	11	-1	
5	1	10	1	1	1	43	472	46	11	0	L3.3hó
2	1	11	0	0	0	42	499	188	26	-1	
3	1	11	1	0	0	42	499	188	26	-1	
4	1	11	1	1	0	65	499	165	12	-1	
5	1	11	1	1	1	65	500	61	11	5	ELLENT
5	1	11	1	1	2	113	491	24	28	0	TSSA
5	1	11	1	1	3	139	499	16	10	25	a
5	1	11	1	1	4	157	499	73	10	0	CSO
5	1	11	1	1	5	225	491	8	28	0	Ó
4	1	11	1	2	0	42	504	58	21	-1	
5	1	11	1	2	1	42	504	58	21	0	Az
2	1	12	0	0	0	42	542	208	166	-1	
3	1	12	1	0	0	42	542	208	128	-1	
4	1	12	1	1	0	42	542	162	15	-1	
5	1	12	1	1	1	65	545	139	11	93	Labdarúgás
5	1	12	1	1	2	126	532	8	32	92	-
5	1	12	1	1	3	134	545	44	11	95	Premier
5	1	12	1	1	4	180	532	26	32	76	Liga
4	1	12	1	2	0	42	580	208	15	-1	
5	1	12	1	2	1	42	580	15	15	0	Ö
5	1	12	1	2	2	65	582	127	12	86	Labdarúgás
5	1	12	1	2	3	127	571	8	31	86	-
5	1	12	1	2	4	134	582	34	12	86	Angol
5	1	12	1	2	5	167	571	26	31	95	Liga
5	1	12	1	2	6	197	582	53	12	96	bajnokság
4	1	12	1	3	0	42	618	186	15	-1	
5	1	12	1	3	1	46	612	5	26	30	OD
5	1	12	1	3	2	65	620	105	12	92	Labdarúgás
5	1	12	1	3	3	124	612	10	26	92	-
5	1	12	1	3	4	135	620	35	12	75	szaúdi
5	1	12	1	3	5	175	620	53	12	96	bajnokság
4	1	12	1	4	0	43	657	98	13	-1	
5	1	12	1	4	1	43	657	82	13	0	KELEZÉLoSÉ
3	1	12	2	0	0	44	696	110	12	-1	
4	1	12	2	1	0	44	696	110	12	-1	
